,Year,Make,Model,DOUGSCORE,Vehicle Country,cylinders,displacement,drive,transmission,age
0,2021,Bugatti,Chiron Pur Sport,73,France,16,8.0,All Wheel Drive,Automatic,0
1,2018,Bugatti,Chiron,73,France,16,8.0,All Wheel Drive,Automatic,0
2,2020,Porsche,Taycan Turbo S,72,Germany,,,All Wheel Drive,Automatic,0
3,2019,Ferrari,488 Pista,72,Italy,8,3.9,Rear Wheel Drive,Automatic,0
4,2015,Porsche,918 Spyder,72,Germany,8,4.6,All Wheel Drive,Automatic,2
5,2018,Ferrari,812 Superfast,71,Italy,12,6.5,Rear Wheel Drive,Automatic,0
6,2020,Ferrari,F8 Tributo,71,Italy,8,3.9,Rear Wheel Drive,Automatic,0
7,2019,Lamborghini,Urus,71,Italy,8,4.0,All Wheel Drive,Automatic,0
8,2018,BMW,M5,71,Germany,8,4.4,All Wheel Drive,Automatic,0
9,2015,Lamborghini,Huracan,71,Italy,10,5.2,All Wheel Drive,Automatic,1
10,2005,Porsche,Carrera GT,71,Germany,10,5.7,Rear Wheel Drive,Manual,11
11,2021,Ferrari,Roma,70,Italy,8,3.9,Rear Wheel Drive,Automatic,0
12,2019,Ford,GT,70,USA,6,3.5,Rear Wheel Drive,Automatic,0
13,2016,Ferrari,488 Spider,70,Italy,8,3.9,Rear Wheel Drive,Automatic,1
14,2019,Porsche,Cayenne Turbo,69,Germany,8,4.0,All Wheel Drive,Automatic,0
15,2020,Rolls-Royce,Cullinan Black Badge,68,UK,12,6.7,All Wheel Drive,Automatic,0
16,2019,Rolls-Royce,Cullinan,68,UK,12,6.7,All Wheel Drive,Automatic,0
17,2017,Ford,GT,68,USA,6,3.5,Rear Wheel Drive,Automatic,0
18,2018,Rolls-Royce,Phantom,68,UK,12,6.7,Rear Wheel Drive,Automatic,0
19,2021,Porsche,Cayenne GTS,67,Germany,8,4.0,All Wheel Drive,Automatic,0
20,2011,Ferrari,599 GTO,67,Italy,12,5.9,Rear Wheel Drive,Automatic,8
21,2020,Porsche,911 Carrera S,67,Germany,6,3.0,Rear Wheel Drive,Automatic,0
22,2006,Bugatti,Veyron,67,France,16,8.0,All Wheel Drive,Automatic,12
23,2017,Ferrari,California T,67,Italy,8,3.9,Rear Wheel Drive,Automatic,0
24,2017,Mercedes-Benz,AMG GT S,67,Germany,8,4.0,Rear Wheel Drive,Automatic,0
25,2005,Ford,GT,67,USA,8,5.4,Rear Wheel Drive,Manual,11
26,2017,Porsche,Panamera Turbo,67,Germany,8,4.0,All Wheel Drive,Automatic,0
27,2017,Bentley,Bentayga,67,UK,12,6.0,All Wheel Drive,Automatic,0
28,2020,Polestar,1,66,Sweden,4,2.0,All Wheel Drive,Automatic,0
29,2020,Porsche,718 Cayman GT4,66,Germany,6,4.0,Rear Wheel Drive,Manual,0
30,2020,Audi,S8,66,Germany,8,4.0,All Wheel Drive,Automatic,0
31,2019,Cadillac,CTS-V,66,USA,8,6.2,Rear Wheel Drive,Automatic,0
32,2018,Rolls-Royce,Dawn,66,UK,12,6.6,Rear Wheel Drive,Automatic,0
33,2014,Audi,R8,66,Germany,10,5.2,All Wheel Drive,Automatic,3
34,2018,Lexus,LC 500,66,Japan,8,5.0,Rear Wheel Drive,Automatic,0
35,2020,Audi,SQ7,66,Germany,8,4.0,All Wheel Drive,Automatic,0
36,2019,Maserati,Levante Trofeo,65,Italy,8,3.8,All Wheel Drive,Automatic,0
37,2019,BMW,M2 Competition,65,Germany,6,3.0,Rear Wheel Drive,Automatic,0
38,2012,Mercedes-Benz,SLS AMG,65,Germany,8,6.2,Rear Wheel Drive,Automatic,5
39,2019,Chevrolet,Corvette ZR1,65,USA,8,6.2,Rear Wheel Drive,Automatic,0
40,2015,Rolls-Royce,Wraith,65,UK,12,6.6,Rear Wheel Drive,Automatic,2
41,2018,BMW,M3 CS,64,Germany,6,3.0,Rear Wheel Drive,Automatic,0
42,2003,Aston Martin,Vanquish,64,UK,12,5.9,Rear Wheel Drive,Automatic,15
43,2012,Lexus,LFA,64,Japan,10,4.8,Rear Wheel Drive,Automatic,5
44,2017,Ferrari,GTC4Lusso,64,Italy,12,6.3,4 Wheel Drive,Automatic,0
